Report generated on: 09-17-2020 15:55:50
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.3-1-ARM-BCF.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-ABW-BCF.A","        Aruba","","","","","","","","--","--","--","--","--","--","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-AUS-BCF.A","        Australia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","731","762","811.856535","870.691325","937.68388","1039.03793","1074.529505","1065.38292","1105.041665","1130.185945","1169.70343","1193.329165","1243.01737","1210.139105","1216.354545","1271.69315","1330.068845","1403.806565","1444.45413","1499.54553","1868.198815","2001.15979","1916.68631","2190.16567","2222.7261","2384.32754","NA","NA","","",""
"INTL.3-1-AUT-BCF.A","        Austria","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","47","47","51","53","47.85","52.34","52.68998","50.42982","55.37392","61.4481","63.743575","61.16558","66.3922","73.843665","69.323345","61.02432","67.769485","68.86425","57.06904","58.093175","60.10613","59.223255","63.672945","51.171435","46.651115","44.602845","NA","NA","","",""
"INTL.3-1-AZE-BCF.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","275.526455778415","240.142","225.31","231.99","236.61","210.4774","460.5076","474.28045","486.6407","202.0018","181.87225","181.16595","176.92815","205.5333","240.8483","556.5644","775.16425","781.8741","871.22105","852.85725","891.3506","980.69755","990.58575","963.74635","NA","NA","","",""
"INTL.3-1-BHR-BCF.A","        Bahrain","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","291","328","296","346.087","339.38","339.38","346.7933","375.39845","389.52445","406.47565","412.12605","425.8989","436.14025","434.3745","437.906","470.3958","488.0533","507.1234","540.67265","547.02935","551.26715","546.6762","590.11365","679.81375","709.8315","727.489","NA","NA","","",""
"INTL.3-1-BGD-BCF.A","        Bangladesh","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","170","173","216","215.77","234.84","260.27","266.9814","269.45345","289.583","319.60075","342.5555","363.7445","391.9965","429.07725","462.6265","494.41","541.0258","574.57505","632.1385","692.174","710.89095","710.18465","777.98945","805.182","844.0285","948.60906648165","NA","NA","","",""
"INTL.3-1-BRB-BCF.A","        Barbados","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.20071","1.165395","1.69512","1.659805","1.62449","1.659805","1.589175","1.518545","1.306655","1.659805","1.33886934097421","1.13790315186246","1.024135","1.024135","1.05945","0.972241833810888","0.991252148997135","0.738686532951289","0.688897612225406","0.62190888252149","0.613761604584527","0.627340401146132","0.718770964660936","0.841885386819484","0.515089016236867","0.626435148042025","NA","NA","","",""
"INTL.3-1-BLR-BCF.A","        Belarus","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","10.24","10.24","10.24","10.59","10.59","7.063","7.7693","7.41615","7.098315","7.063","6.70985","5.6504","6.3567","6.07418","6.00355","5.6504","5.36788","5.29725","7.663355","7.7693","7.41615","8.05182","7.7693","8.440285","NA","NA","","",""
"INTL.3-1-BEL-BCF.A","        Belgium","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.42","0.318","0.212","0.1413","0.04","0","0.07063","0","0","0","0.07063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BLZ-BCF.A","        Belize","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BEN-BCF.A","        Benin","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BMU-BCF.A","        Bermuda","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BTN-BCF.A","        Bhutan","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BOL-BCF.A","        Bolivia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","186","192","206","197.41","209.06","188.94","186.4632","188.93525","189.64155","175.8687","197.764","252.50225","313.5972","360.9193","446.73475","518.77735","517.36475","536.788","541.0258","473.57415","526.1935","580.93175","658.9779","751.15005","767.39495","741.615","NA","NA","","",""
"INTL.3-1-BIH-BCF.A","        Bosnia and Herzegovina","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0.812","0","0","31.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BWA-BCF.A","        Botswana","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BRA-BCF.A","        Brazil","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","252","232.82","246.34242350937","260","274.04","280.75","323.4854","348.2059","381.04885","420.2485","469.33635","494.41","548.44195","557.62385","599.29555","625.0755","625.42865","640.96725","762.45085","746.241265","809.77295","850.03205","912.04519","994.788235","1126.301295","1238.1439","1338.0898846726","1416.7333275432","","",""
"INTL.3-1-VGB-BCF.A","        British Virgin Islands","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-BRN-BCF.A","        Brunei","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","334","337","313","351.7374","358.45","395.18","391.64335","390.5839","379.63625","400.82525","416.36385","434.3745","453.79775","473.221","474.28045","474.28045","505.0045","503.23875","501.473","427.3115","443.20325","476.39935","454.1509","456.2698","419.89535","439.67175","NA","NA","","",""
"INTL.3-1-BGR-BCF.A","        Bulgaria","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.353","0.324549696969697","1.4126","2.472","2.12","1.77","1.41","1.4126","1.05945","0.7063","0.7063","0.7063","0.716327236180904","0.752635269271383","12.5218380446334","17.7306016736402","16.9754786817714","10.5945","3.88465","0.35315","1.76575","12.36025","13.4445101879327","9.81757","6.3567","3.68526389713155","NA","NA","","",""
"INTL.3-1-BFA-BCF.A","        Burkina Faso","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-MMR-BCF.A","        Burma","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40","38.3232741617357","40","38.846","50.5","57.92","56.504","53.32565","62.1544","67.8048","123.95565","257.7995","310.772","363.7445","384.9335","485.58125","467.92375","498.6478","459.095","424.4863","438.6123","450.6194","449.2068","461.56705","550.56085","648.03025","NA","NA","","",""
"INTL.3-1-BDI-BCF.A","        Burundi","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-CPV-BCF.A","        Cabo Verde","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-KHM-BCF.A","        Cambodia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-CMR-BCF.A","        Cameroon","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","88.29","88.29","76.9867","87.58","85.46","73.10205","73.10205","73.10205","73.10205","68.86425","62.50755","57.2103","53.32565","60.0355","65.33275","0","69.2174","69.2174","69.2174","83.69655","84.756","66.60409","70.98315","76.245085","90.4064","NA","NA","","",""
"INTL.3-1-CAN-BCF.A","        Canada","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4895.72","5120.22","5581.08","6039.041","6479.14","6798.49","6968.956155","7061.5874","7261.82345","7445.1083","7679.5999","7826.5103","7785.89805","7608.61675","7698.67","7734.33815","7784.55608","7625.35606","7368.61601","6927.67292","6695.335535","6669.23775","6310.29609","6456.07641","6814.276455","6751.698275","NA","NA","","",""
"INTL.3-1-CYM-BCF.A","        Cayman Islands","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-CAF-BCF.A","        Central African Republic","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-TCD-BCF.A","        Chad","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.35315","0.35315","0.35315","0.35315","0.35315","0.35315","NA","NA","","",""
"INTL.3-1-CHL-BCF.A","        Chile","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","156","146","167.300917","148.32","149.74","133.49","129.2529","113.36115","108.0639","104.5324","100.64775","104.5324","79.88253","68.405155","65.862475","70.382795","67.133815","69.535235","68.08732","69.747125","66.780665","57.245615","46.26265","36.692285","29.09956","38.56398","NA","NA","","",""
"INTL.3-1-CHN-BCF.A","        China","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","508","526","533.2565","558.33","588.7","601.41","711.844455","801.29735","821.603475","889.337645","962.33375","1070.39765","1152.6816","1211.3045","1439.79255","1762.9248","2066.56317","2446.27005","2685.3526","2975.00623","3334.08915","3628.651565","3665.55574","3986.00405","4359.91927","4559.625595","NA","NA","","",""
"INTL.3-1-COL-BCF.A","        Colombia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","183","186","187","189","194.94","271.22","332.6673","453.4446","507.8297","533.60965","513.12695","529.37185","533.60965","513.4801","504.65135","555.1518","782.93355","931.96285","1025.90075","1196.82535","1123.7233","1114.5414","1110.3036","1100.76855","1042.85195","979.28495","NA","NA","","",""
"INTL.3-1-COM-BCF.A","        Comoros","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-COG-BCF.A","        Congo-Brazzaville","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","0","0","45.9095","45.91","45.91","46.96895","141.61315","133.84385","134.197","127.134","124.3088","118.30525","116.5395","111.24225","250.7365","264.8625","268.74715","271.57235","281.8137","297.70545","333.72675","328.4295","337.6114","330.19525","324.898","NA","NA","","",""
"INTL.3-1-COD-BCF.A","        Congo-Kinshasa","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.1819","7.41615","7.41615","7.41615","7.41615","9.1819","NA","NA","","",""
"INTL.3-1-COK-BCF.A","        Cook Islands","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-CRI-BCF.A","        Costa Rica","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-HRV-BCF.A","        Croatia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","64.273","73.03142","63.57","69.57","63.57","56.504","55.44455","54.73825","58.6229","62.1544","54.73825","65.33275","57.9166","54.3851","71.68945","71.936655","71.866025","69.9237","73.94961","75.397525","70.13559","62.1544","61.695305","64.591135","NA","NA","","",""
"INTL.3-1-CUB-BCF.A","        Cuba","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.14","1.18","1.22","1.25","1.22","1.44840496657116","1.518545","35.315","20.83585","24.36735","28.252","17.6575","19.42325","20.4827","20.4827","21.189","19.42325","30.01775","49.79415","49.79415","43.0843","39.5528","39.69406","40.82414","44.85005","48.38155","NA","NA","","",""
"INTL.3-1-CYP-BCF.A","        Cyprus","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-CZE-BCF.A","        Czech Republic","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","8.405","10.28","8.97","8.33434","7.62804","8.05182","8.12245","7.733985","5.6504","5.403195","5.93292","7.592725","7.098315","6.85111","7.098315","7.027685","7.945875","8.68749","8.299025","9.287845","8.89938","9.146585","8.722805","NA","NA","","",""
"INTL.3-1-CIV-BCF.A","        Côte d’Ivoire","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","1.41","12.7134","21.189","28.252","47.3221","47.67525","47.67525","47.3221","47.3221","45.9095","45.9095","45.9095","52.9725","56.504","56.504","61.977825","61.09495","66.3922","75.71536","76.315715","75.64473","NA","NA","","",""
"INTL.3-1-DNK-BCF.A","        Denmark","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","114.809","147.82","153.62","166.899","234.14","192.431435","233.608725","350.3248","383.87405","406.8288","422.3674","414.95125","304.27404","290.00678","342.661445","375.786915","374.515575","331.46659","361.06056","300.46002","294.703675","235.868885","206.133655","174.915195","166.439595","166.439595","NA","NA","","",""
"INTL.3-1-DJI-BCF.A","        Djibouti","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-DMA-BCF.A","        Dominica","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-DOM-BCF.A","        Dominican Republic","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-ECU-BCF.A","        Ecuador","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","29.4547076923077","33.166823","23.66","23.66","37.43","37.4339","37.78705","37.78705","37.78705","39.90595","40.61225","38.8465","41.6717","43.0843","43.7906","44.14375","43.7906","44.14375","49.441","49.546945","47.216155","54.420415","57.49282","62.260345","59.223255","NA","NA","","",""
"INTL.3-1-EGY-BCF.A","        Egypt","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","402","478","479","526.8998","548.8","562.57","631.4322","640.96725","645.20505","693.93975","860.2734","1062.9815","1107.12525","1215.5423","1296.0605","1670.3995","2111.837","2196.593","2312.07305","2443.44485","2368.9302","2339.9719","2314.086005","2180.70125","1907.01","1742.01832","NA","NA","","",""
"INTL.3-1-SLV-BCF.A","        El Salvador","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-GNQ-BCF.A","        Equatorial Guinea","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","19.42325","20.13","20.83","31.43035","32.13665","35.66815","40.61225","44.14375","45.9095","120.071","134.197","88.2875","134.197","134.197","159.6238","266.62825","294.88025","299.11805","293.1145","295.58655","317.835","298.7649","296.646","NA","NA","","",""
"INTL.3-1-ERI-BCF.A","        Eritrea","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-EST-BCF.A","        Estonia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-SWZ-BCF.A","        Eswatini","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-ETH-BCF.A","        Ethiopia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-FLK-BCF.A","        Falkland Islands","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-FRO-BCF.A","        Faroe Islands","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-FJI-BCF.A","        Fiji","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-FIN-BCF.A","        Finland","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-CSK-BCF.A","        Former Czechoslovakia","","","","","","","","--","--","--","--","--","--","--","--","--","--","25","22","9.89","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","",""
"INTL.3-1-SCG-BCF.A","        Former Serbia and Montenegro","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","29.876","33.97303","27.8","32","23.696365","24.29672","33.26673","23.978885","19.176045","21.25963","22.95475","13.4197","9.8882","9.8882","--","--","--","--","--","--","--","--","--","--","--","--","","",""
"INTL.3-1-SUN-BCF.A","        Former U.S.S.R.","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29823","29404","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","",""
"INTL.3-1-YUG-BCF.A","        Former Yugoslavia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","94","92","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","",""
"INTL.3-1-FRA-BCF.A","        France","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","153","156","111.38","120.88","124.767895","118.41","102.801965","91.32459","79.88253","72.996105","66.32157","67.45165","95.70365","84.0497","77.33985","63.21385","65.33275","57.56345","51.91305","48.7347","47.67525","39.5528","36.127245","12.0071","0.600355","0.741615","NA","NA","","",""
"INTL.3-1-GUF-BCF.A","        French Guiana","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-PYF-BCF.A","        French Polynesia","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-GAB-BCF.A","        Gabon","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","88","87.764288443171","94.99735","94.99735","91.11","91.11","91.1127","91.1127","91.1127","91.1127","88.2875","84.0497","81.2245","75.92725","74.1615","74.1615","74.1615","73.4552","73.4552","73.4552","73.4552","76.9867","88.110925","83.62592","83.69655","91.04207","NA","NA","","",""
"INTL.3-1-GMB-BCF.A","        Gambia, The","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-GEO-BCF.A","        Georgia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0.71","0","0","0","0","2.1189","2.1189","2.1189","2.1189","2.1189","0.459095","0.7063","0.7063","0.529725","0.35315","0.35315","0.28252","0.35315","0.176575","0.105945","0.07063","0.07063","0.035315","0.35315","NA","NA","","",""
"INTL.3-1-DEU-BCF.A","        Germany","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","691","693.8","692.456","733.42192","765.77","824.04021","808.183775","786.641625","883.51067","835.800105","841.76834","843.710665","816.97721","746.947565","738.0835","767.0418","757.400805","672.68012","663.109755","568.677445","561.473185","497.09394","464.851345","367.34663","337.25825","NA","NA","","",""
"INTL.3-1-DDR-BCF.A","        Germany, East","","","","","","","","--","--","--","--","--","--","--","--","--","--","246","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","",""
"INTL.3-1-DEUW-BCF.A","        Germany, West","","","","","","","","--","--","--","--","--","--","--","--","--","--","579","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","",""
"INTL.3-1-GHA-BCF.A","        Ghana","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.82875","15.89175","19.42325","24.7205","24.7205","45.2032","NA","NA","","",""
"INTL.3-1-GIB-BCF.A","        Gibraltar","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
"INTL.3-1-GRC-BCF.A","        Greece","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","4","2.896","1.38","1.27","1.377285","1.306655","1.165395","0.07063","1.27134","1.236025","1.306655","0.953505","0.882875","0.56504","0.812245","0.741615","0.49441","0.388465","0.247205","0.21189","0.21189","0.21189","0.176575","0.14126","NA","NA","","",""
"INTL.3-1-GRL-BCF.A","        Greenland","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","",""
